Project ID,LOC,FP,UCP,Effort (person-hours),Development Time (months),Team Size,Project Type,Language Type,Primary Programming Language,Count Approach,Application Group,Application Type,Development Type,Defect Density,Productivity,Schedule
1,29.9,202,197.89,20800,10,13,Web,3GL,C,FiSMA,Infrastructure Software,Air Traffic Management,Enhancement,3.39,1.554,10
2,57.12,714,674.43,18720,13,9,Web,3GL,Python,IFPUG 4+,Real-Time Application,E-Business,New Development,2.84,6.103,13
3,28.32,472,453.17,8000,5,10,Web,3GL,Java,COSMIC,Business Application,Website,Enhancement,0.23,9.44,5
4,52.14,869,907.58,3840,8,3,Embedded,3GL,Java,NESMA,Mathematically Intensive Application,Internet Banking,New Development,1.0,36.208,8
5,30.08,376,384.83,3840,8,3,Mobile,3GL,PHP,FiSMA,Mathematically Intensive Application,Air Traffic Management,Enhancement,1.03,15.667,8
6,19.12,956,983.84,35360,17,13,Enterprise,4GL,PowerBuilder,IFPUG 4+,Mathematically Intensive Application,Internet Banking,Re-development,0.38,4.326,17
7,46.0,575,630.99,11200,14,5,Enterprise,3GL,Javascript,IFPUG 4+,Real-Time Application,E-Business,Other,3.06,8.214,14
8,46.55,931,974.46,5600,5,7,Enterprise,3GL,Visual Basic,FiSMA,Infrastructure Software,Human Resources,New Development,3.72,26.6,5
9,56.4,940,852.11,10560,11,6,Web,3GL,Java,FiSMA,Business Application,Internet Banking,Enhancement,1.46,14.242,11
10,27.28,341,320.04,13440,7,12,Web,3GL,PHP,FiSMA,Real-Time Application,Human Resources,Re-development,1.92,4.06,7
11,15.28,191,188.71,8960,14,4,Mobile,3GL,ASP.Net,FiSMA,Infrastructure Software,Human Resources,Re-development,2.98,3.411,14
12,6.7,134,132.78,3840,4,6,Web,3GL,Visual Basic,COSMIC,Infrastructure Software,Air Traffic Management,Not Defined,3.65,5.583,4
13,8.08,101,99.49,5760,12,3,Embedded,3GL,.Net,COSMIC,Mathematically Intensive Application,Internet Banking,New Development,3.27,2.806,12
14,85.25,576,630.1,6720,14,3,Mobile,3GL,C,FiSMA,Real-Time Application,Transaction System,New Development,4.76,13.714,14
15,18.45,369,385.77,6400,10,4,Mobile,3GL,Visual Basic,FiSMA,Infrastructure Software,Human Resources,Not Defined,3.28,9.225,10
16,28.08,351,319.07,5600,7,5,Embedded,3GL,Javascript,COSMIC,Mathematically Intensive Application,Air Traffic Management,Enhancement,2.55,10.029,7
17,34.96,437,460.58,19200,12,10,Enterprise,3GL,PHP,NESMA,Mathematically Intensive Application,Air Traffic Management,Enhancement,4.86,3.642,12
18,16.93,287,289.45,4800,15,2,Embedded,3GL,C#,IFPUG 4+,Business Application,Air Traffic Management,Enhancement,1.24,9.567,15
19,8.2,164,148.11,3200,10,2,Embedded,3GL,Visual Basic,IFPUG 4+,Real-Time Application,IT Management,Other,2.58,8.2,10
20,59.76,747,673.13,3200,5,4,Embedded,3GL,Python,FiSMA,Business Application,Human Resources,New Development,1.12,37.35,5
21,61.92,774,835.16,14560,7,13,Enterprise,3GL,ASP.Net,IFPUG 4+,Mathematically Intensive Application,IT Management,Enhancement,4.71,8.505,7
22,20.72,140,151.62,3200,10,2,Embedded,3GL,C,FiSMA,Infrastructure Software,Website,New Development,2.8,7.0,10
23,10.56,132,132.84,23040,16,9,Enterprise,3GL,Python,COSMIC,Infrastructure Software,Transaction System,Enhancement,2.3,0.917,16
24,9.9,198,189.91,16640,13,8,Web,3GL,Visual Basic,FiSMA,Real-Time Application,E-Business,New Development,3.24,1.904,13
25,67.04,838,848.02,2400,3,5,Enterprise,3GL,.Net,COSMIC,Business Application,Air Traffic Management,Other,1.14,55.867,3
26,35.52,602,588.21,18720,13,9,Web,3GL,C#,NESMA,Business Application,Internet Banking,Other,0.88,5.145,13
27,6.84,114,105.13,12000,15,5,Mobile,3GL,C++,NESMA,Infrastructure Software,Transaction System,Other,1.81,1.52,15
28,57.78,963,989.27,12000,15,5,Embedded,3GL,Java,COSMIC,Mathematically Intensive Application,IT Management,Re-development,3.03,12.84,15
29,66.64,833,772.91,9600,15,4,Embedded,3GL,Python,NESMA,Business Application,Air Traffic Management,Enhancement,0.9,13.883,15
30,51.2,640,590.64,18720,13,9,Web,3GL,ASP.Net,IFPUG 4+,Infrastructure Software,Website,Enhancement,3.78,5.47,13
31,52.8,895,888.71,12320,7,11,Web,3GL,C#,IFPUG 4+,Infrastructure Software,E-Business,New Development,4.49,11.623,7
32,2.54,127,129.77,15360,16,6,Enterprise,4GL,Oracle Forms,FiSMA,Real-Time Application,Air Traffic Management,Other,1.35,1.323,16
33,36.95,739,784.44,8800,11,5,Mobile,3GL,Visual Basic,NESMA,Infrastructure Software,Internet Banking,Not Defined,2.27,13.436,11
34,19.44,324,309.23,10240,16,4,Embedded,3GL,Java,IFPUG 4+,Business Application,Human Resources,Not Defined,0.2,5.062,16
35,16.88,844,869.72,12800,10,8,Enterprise,4GL,PowerBuilder,IFPUG 4+,Business Application,E-Business,Not Defined,0.89,10.55,10
36,24.6,417,426.26,9600,12,5,Enterprise,3GL,C#,COSMIC,Infrastructure Software,Air Traffic Management,Other,2.35,6.95,12
37,55.56,926,893.26,8000,10,5,Embedded,3GL,C++,NESMA,Infrastructure Software,Transaction System,Not Defined,3.81,18.52,10
38,12.51,212,193.55,2880,6,3,Mobile,3GL,C#,NESMA,Business Application,E-Business,Other,0.52,11.778,6
39,53.45,906,860.45,3360,7,3,Web,3GL,C#,COSMIC,Infrastructure Software,IT Management,Not Defined,2.14,43.143,7
40,10.8,180,171.6,1920,4,3,Embedded,3GL,Java,NESMA,Business Application,Air Traffic Management,Not Defined,0.73,15.0,4
41,76.32,954,885.18,1440,3,3,Web,3GL,PHP,FiSMA,Real-Time Application,Transaction System,Not Defined,1.96,106.0,3
42,13.74,229,230.42,8640,18,3,Embedded,3GL,C++,COSMIC,Mathematically Intensive Application,Air Traffic Management,New Development,3.21,4.241,18
43,27.68,346,334.66,20800,10,13,Web,3GL,ASP.Net,IFPUG 4+,Business Application,Website,Not Defined,0.51,2.662,10
44,128.17,866,918.5,1920,6,2,Mobile,3GL,C,IFPUG 4+,Infrastructure Software,E-Business,Other,4.93,72.167,6
45,36.6,610,554.51,5280,11,3,Web,3GL,Java,NESMA,Business Application,Website,Enhancement,0.62,18.485,11
46,21.25,425,412.07,4800,6,5,Web,3GL,Visual Basic,IFPUG 4+,Real-Time Application,Human Resources,Other,2.3,14.167,6
